Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm
 99 | 1.6401e+70 | 6.8176 | 0.2974 | 0.4216 |  0.0026205 | 0.00037211 | 0.00037593 |     2.862e-11 | 4.2515e-12 |  4.471e-12 | 1.1763e-05
100 | 1.8422e+70 | 6.5555 | 0.2897 | 0.2962 |  0.0025248 | 0.00035928 |  0.0003613 |    2.6516e-11 | 3.9509e-12 |  3.979e-12 | 1.1337e-05
101 | 1.9078e+70 | 6.5156 | 0.2899 | 0.2939 |  0.0025113 | 0.00035818 | 0.00035993 |    2.6213e-11 | 3.9164e-12 | 3.9386e-12 | 1.1279e-05
102 | 1.9678e+70 | 6.4022 | 0.2852 | 0.2893 |  0.0024973 | 0.00035318 | 0.00035433 |    2.5613e-11 | 3.7977e-12 |  3.814e-12 | 1.1092e-05
103 | 2.0197e+70 | 6.4637 | 0.2956 | 0.3004 |   0.002483 | 0.00034723 | 0.00034881 |    2.5711e-11 | 3.7829e-12 | 3.8044e-12 |  1.116e-05
104 | 2.0807e+70 | 6.3332 | 0.2843 | 0.2875 |  0.0024146 | 0.00034733 | 0.00034892 |    2.4498e-11 | 3.6916e-12 | 3.7107e-12 | 1.0699e-05
105 | 2.2759e+70 | 6.1651 | 0.2853 | 0.2891 |  0.0023535 | 0.00033558 | 0.00033673 |    2.3244e-11 | 3.4845e-12 | 3.4998e-12 | 1.0585e-05
106 |   2.34e+70 | 6.1609 | 0.2798 | 0.2835 |  0.0023241 | 0.00033178 | 0.00033276 |    2.2939e-11 | 3.4363e-12 | 3.4497e-12 | 1.0479e-05
107 |  2.205e+70 | 5.9817 | 0.2921 | 0.2966 |  0.0023451 | 0.00033841 | 0.00033902 |    2.2473e-11 | 3.4235e-12 | 3.4345e-12 | 9.9654e-06
108 | 2.5346e+70 | 6.1006 | 0.2896 |  0.294 |    0.00227 | 0.00032284 | 0.00032372 |    2.2185e-11 | 3.3263e-12 | 3.3396e-12 | 1.0223e-05
109 | 2.5659e+70 |  6.065 |    0.3 | 0.3055 |  0.0022208 | 0.00031498 | 0.00031644 |    2.1577e-11 | 3.2412e-12 |  3.261e-12 | 1.0006e-05
110 | 2.7254e+70 |  5.878 | 0.2956 | 0.3005 |   0.002165 | 0.00031051 | 0.00031125 |    2.0387e-11 | 3.0985e-12 | 3.1107e-12 | 9.8116e-06
111 | 2.7946e+70 | 5.5975 | 0.2839 | 0.2979 |  0.0021275 | 0.00030904 | 0.00031046 |    1.9077e-11 | 2.9353e-12 | 2.9633e-12 |  9.244e-06
112 | 3.1145e+70 | 5.6822 | 0.2926 | 0.2981 |  0.0020553 | 0.00029608 | 0.00029702 |     1.871e-11 | 2.8622e-12 | 2.8764e-12 | 9.6825e-06
113 | 3.4486e+70 | 5.5464 | 0.3005 |    0.3 |  0.0020144 | 0.00028561 | 0.00030441 |    1.7899e-11 | 2.7167e-12 | 2.8728e-12 | 9.5795e-06
114 | 3.6531e+70 | 5.6702 | 0.2873 | 0.3042 |  0.0019342 | 0.00027878 | 0.00027981 |    1.7569e-11 | 2.6843e-12 | 2.7108e-12 | 9.4775e-06
115 | 4.2308e+70 | 5.8471 | 0.3063 | 0.3118 |  0.0017742 | 0.00025651 | 0.00025708 |    1.6619e-11 | 2.5556e-12 | 2.5659e-12 | 9.5086e-06
116 | 4.1599e+70 |  5.569 | 0.2681 | 0.2991 |  0.0017885 | 0.00026248 |  0.0002632 |    1.5956e-11 | 2.4645e-12 | 2.4996e-12 | 8.9462e-06
117 | 4.5075e+70 | 5.5175 | 0.2807 | 0.2966 |  0.0017481 | 0.00025525 | 0.00026805 |    1.5452e-11 | 2.3892e-12 | 2.5107e-12 | 8.7089e-06
118 | 4.9839e+70 | 5.1881 | 0.2114 | 0.2154 |  0.0016544 | 0.00025038 |  0.0002527 |     1.375e-11 | 2.1551e-12 | 2.1765e-12 | 8.0021e-06
119 | 6.1011e+70 | 5.4879 | 0.2818 | 0.2983 |  0.0015077 | 0.00022035 |   0.000237 |    1.3255e-11 | 2.0533e-12 | 2.2046e-12 | 8.3465e-06
120 | 6.9468e+70 | 5.0281 | 0.2109 | 0.2158 |  0.0014498 | 0.00021564 | 0.00021774 |    1.1678e-11 | 1.8047e-12 | 1.8241e-12 | 7.7402e-06
121 | 7.2384e+70 | 5.2707 | 0.2173 | 0.2799 |  0.0013746 | 0.00021007 | 0.00021248 |    1.1607e-11 | 1.8371e-12 |  1.897e-12 | 7.9003e-06
122 | 8.0203e+70 |   4.79 | 0.2082 | 0.2118 |  0.0013161 | 0.00020106 | 0.00020296 |    1.0099e-11 | 1.6041e-12 | 1.6202e-12 |  7.072e-06
123 | 9.0151e+70 |  4.655 | 0.2036 | 0.2071 |  0.0012594 |  0.0001939 | 0.00019578 |    9.3915e-12 | 1.5032e-12 | 1.5186e-12 | 6.7503e-06
124 | 1.0664e+71 | 4.6329 | 0.2046 | 0.2087 |  0.0011741 | 0.00017959 | 0.00018118 |    8.7142e-12 | 1.3874e-12 | 1.4008e-12 | 6.6596e-06
125 | 1.2282e+71 | 4.3054 | 0.1484 | 0.2042 |  0.0011078 | 0.00017244 | 0.00017432 |    7.6411e-12 | 1.2182e-12 | 1.2558e-12 | 1.9675e-06
126 | 1.6324e+71 | 4.4382 | 0.1998 | 0.2032 | 0.00098948 | 0.00015293 | 0.00015422 |    7.0352e-12 | 1.1325e-12 | 1.1429e-12 | 6.1915e-06
127 | 2.3234e+71 | 4.7619 | 0.2107 | 0.2146 |   0.000844 | 0.00013196 | 0.00013325 |    6.4385e-12 | 1.0462e-12 | 1.0571e-12 | 6.4673e-06
128 | 3.3034e+71 | 4.5264 | 0.2101 | 0.2141 |  0.0007528 | 0.00011912 | 0.00012004 |    5.4588e-12 | 9.0017e-13 | 9.0792e-13 | 6.2444e-06
129 | 4.8985e+71 | 4.4129 | 0.2104 | 0.2142 | 0.00069629 | 0.00011306 | 0.00011762 |    4.9224e-12 |   8.33e-13 | 8.6517e-13 | 6.2108e-06
130 | 8.8011e+71 | 4.0319 | 0.1602 |  0.162 | 0.00055261 | 9.5036e-05 | 9.6386e-05 |    3.5694e-12 | 6.3001e-13 | 6.3887e-13 | 5.4817e-06
131 | 1.2316e+72 | 3.8081 | 0.1729 | 0.1766 | 0.00052929 | 9.6561e-05 | 9.7288e-05 |     3.229e-12 | 6.0705e-13 | 6.1211e-13 | 5.5421e-06
132 |  1.713e+72 | 4.0141 | 0.1815 | 0.1827 | 0.00043739 | 8.2572e-05 | 8.3389e-05 |    2.8127e-12 |   5.46e-13 | 5.5131e-13 | 5.3912e-06
133 | 3.1295e+72 | 3.8034 | 0.1823 | 0.1821 | 0.00032783 | 6.3393e-05 | 6.3997e-05 |    1.9975e-12 | 3.9795e-13 | 4.0149e-13 | 4.6822e-06
134 | 7.4866e+72 | 2.9486 | 0.1036 | 0.1036 | 0.00022391 | 3.7165e-05 | 3.7165e-05 |    1.0577e-12 | 1.7944e-13 | 1.7944e-13 | 3.3063e-06
135 | 7.6417e+73 | 1.4229 | 0.7799 | 0.0686 |  7.048e-05 | 1.7754e-05 |  8.863e-05 |    1.6066e-13 | 9.6912e-14 | 2.0218e-13 | 1.3832e-06
136 | 1.2602e+67 | 6.1356 | 0.0895 | 0.0895 |     0.1168 |   0.012599 |   0.012599 |     1.148e-09 | 1.2496e-10 | 1.2496e-10 | 1.6904e-05
137 | 2.9384e+67 | 4.6227 | 0.0852 | 0.0854 |   0.099322 |    0.01196 |   0.011973 |    7.3554e-10 | 8.9604e-11 | 8.9701e-11 | 1.4483e-05
138 | 3.7194e+67 | 4.3441 | 0.0866 | 0.0797 |   0.096769 |   0.011167 |   0.011186 |    6.7344e-10 | 7.8865e-11 | 7.8819e-11 | 1.5017e-05
